family,variant,dtype,m,n,k,median_ms,iqr_ms,gflops,baseline_gflops,pct_baseline,throttled,median_sm_clock_mhz,max_temp_c,max_power_w,cuda_runtime,cuda_driver,commit
gemm,naive,fp32,1024,1024,1024,1.004496,0.0094,2137.872,17169.979,12.45,False,1042,40,19.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,naive,fp32,2048,2048,2048,8.398176,0.037056,2045.667,23530.457,8.69,False,2077,54,64.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,cp_async,fp32,1024,1024,1024,0.196656,0.003392,10920.0,18479.654,59.09,False,2707,54,74.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,cp_async,fp32,2048,2048,2048,1.122544,0.008152,15304.406,23690.359,64.6,False,2865,54,75.8,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,fp16,2048,2048,2048,0.47768,0.01456,35965.226,63981.757,56.21,False,2865,45,50.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,fp16,4096,4096,4096,3.782784,0.018216,36332.752,61265.653,59.3,False,2872,45,53.8,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,2048,2048,2048,0.333632,0.013072,51493.471,63985.567,80.48,False,2745,47,62.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,4096,4096,4096,2.499568,0.172968,54985.083,61132.232,89.94,False,2865,47,64.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,2048,2048,2048,0.521776,0.016928,32925.756,63970.322,51.47,False,2865,43,57.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,2048,2048,0,0.101376,0.001616,82.747,551.882,14.99,False,2865,43,60.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,4096,4096,0,0.250416,0.006632,133.995,291.109,46.03,False,2865,43,44.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,2048,2048,0,0.0132,0.001144,635.501,304.641,208.61,False,2865,43,40.6,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,4096,4096,0,0.115024,0.002136,291.717,287.715,101.39,False,2707,43,39.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,2048,2048,0,0.014304,0.001584,586.452,576.774,101.68,False,2692,42,37.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,4096,4096,0,0.115152,0.00112,291.393,288.784,100.9,False,2692,42,36.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,naive,fp32,65536,65536,0,0.079696,0.00136,48.225,50.295,95.88,False,2692,42,37.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,warp,fp32,65536,65536,0,0.043264,0.001832,88.835,50.957,174.33,False,2692,42,36.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,naive,fp32,1024,256,0,34.045824,0.163239,7.885,572.64,1.38,False,2790,43,45.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,blocked,fp32,1024,256,0,1.245616,0.046208,215.504,572.055,37.67,False,2865,43,46.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,naive,fp32,512,512,512,0.138352,0.002,1940.235,7921.254,24.49,False,1050,41,14.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,naive,fp32,4096,4096,4096,72.035393,0.303009,1907.936,21972.064,8.68,False,2850,59,209.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,tiled,fp32,512,512,512,0.168832,0.001248,1589.956,7947.521,20.01,False,2827,59,188.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,tiled,fp32,1024,1024,1024,1.186144,0.018656,1810.475,18293.271,9.9,False,2865,54,127.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,tiled,fp32,2048,2048,2048,9.819216,0.163648,1749.617,23272.901,7.52,False,2865,45,79.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,tiled,fp32,4096,4096,4096,86.782223,0.476879,1583.722,21312.648,7.43,False,2857,53,128.8,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,register,fp32,512,512,512,0.091344,0.002456,2938.731,7921.254,37.1,False,2827,52,129.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,register,fp32,1024,1024,1024,0.305888,0.00564,7020.49,18510.237,37.93,False,2827,52,106.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,register,fp32,2048,2048,2048,1.759408,0.046512,9764.574,23410.919,41.71,False,2865,48,80.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,register,fp32,4096,4096,4096,13.228464,0.220064,10389.638,22035.248,47.15,False,2865,46,111.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,cp_async,fp32,512,512,512,0.058368,0.002096,4599.018,7130.138,64.5,False,2827,49,128.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,cp_async,fp32,4096,4096,4096,8.478768,0.035168,16209.779,22066.608,73.46,False,2865,60,128.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,fp16,1024,1024,1024,0.075168,0.00272,28569.12,51326.091,55.66,False,2820,60,123.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,fp16,8192,8192,8192,31.53496,0.348249,34866.435,64120.498,54.38,False,2865,59,206.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ptx,fp16,1024,1024,1024,0.079664,0.001936,26956.764,50081.243,53.83,False,2850,60,177.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ptx,fp16,2048,2048,2048,0.49176,0.017696,34935.475,63901.792,54.67,False,2850,60,111.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ptx,fp16,4096,4096,4096,3.781728,0.017336,36342.897,61036.235,59.54,False,2865,46,59.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ptx,fp16,8192,8192,8192,32.237585,0.416943,34106.513,65388.895,52.16,False,2865,59,213.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,1024,1024,1024,0.076608,0.001048,28032.106,51741.608,54.18,False,2835,51,181.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,2048,2048,2048,0.478768,0.001608,35883.496,63955.077,56.11,False,2865,51,111.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,4096,4096,4096,3.760336,0.018696,36549.647,61109.615,59.81,False,2865,45,67.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,8192,8192,8192,31.244608,0.442073,35190.444,65365.754,53.84,False,2865,58,204.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,1024,1024,1024,0.06648,0.002856,32302.702,50897.886,63.47,False,2827,57,174.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,8192,8192,8192,18.937344,0.159576,58060.499,65303.949,88.91,False,2865,52,164.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,1024,1024,1024,0.084768,0.00288,25333.66,51169.55,49.51,False,2820,50,169.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,4096,4096,4096,4.094912,0.02448,33563.347,62819.469,53.43,False,2865,44,104.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,8192,8192,8192,34.066225,0.249607,32275.711,65954.846,48.94,False,2865,57,201.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,1024,1024,0,0.055376,0.002376,37.871,239.182,15.83,False,2850,50,178.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,8192,8192,0,0.841568,0.016,159.485,305.262,52.25,False,2865,49,118.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,1024,1024,0,0.009296,0.001544,225.597,240.499,93.8,False,2865,44,45.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,8192,8192,0,0.441568,0.01544,303.957,304.321,99.88,False,2865,44,45.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,1024,1024,0,0.009232,0.002392,227.161,168.69,134.66,False,2820,43,41.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,8192,8192,0,0.435696,0.017352,308.054,303.155,101.62,False,2722,43,40.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,naive,fp32,16384,16384,0,0.037328,0.001456,24.742,23.257,106.39,False,2722,42,39.6,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,naive,fp32,131072,131072,0,0.135328,0.014208,57.514,66.812,86.08,False,2722,43,39.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,warp,fp32,16384,16384,0,0.014976,0.001432,61.67,21.758,283.44,False,2715,42,40.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,warp,fp32,131072,131072,0,0.083184,0.002672,93.567,73.405,127.47,False,2715,42,38.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,naive,fp32,512,256,0,7.945664,0.039208,8.446,261.866,3.23,False,2692,42,39.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,naive,fp32,2048,256,0,137.074493,0.450134,7.833,1169.124,0.67,False,2880,43,48.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,blocked,fp32,512,256,0,0.610832,0.0148,109.865,231.666,47.42,False,2880,43,47.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,blocked,fp32,2048,256,0,2.815936,0.13148,381.309,1199.765,31.78,False,2880,42,45.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
